state,seat_number,biden_2020,trump_2020
Alabama,1,,
Alabama,2,,
Alabama,3,,
Alabama,4,,
Alabama,5,,
Alabama,6,,
Alabama,7,,
Florida,1,,
Florida,2,,
Florida,3,,
Florida,4,,
Florida,5,,
Florida,6,,
Florida,7,,
Florida,8,,
Florida,9,,
Florida,10,,
Florida,11,,
Florida,12,,
Florida,13,,
Florida,14,,
Florida,15,,
Florida,16,,
Florida,17,,
Florida,18,,
Florida,19,,
Florida,20,,
Florida,21,,
Florida,22,,
Florida,23,,
Florida,24,,
Florida,25,,
Florida,26,,
Florida,27,,
Florida,28,,
Georgia,1,,
Georgia,2,,
Georgia,3,,
Georgia,4,,
Georgia,5,,
Georgia,6,,
Georgia,7,,
Georgia,8,,
Georgia,9,,
Georgia,10,,
Georgia,11,,
Georgia,12,,
Georgia,13,,
Georgia,14,,
Louisiana,1,,
Louisiana,2,,
Louisiana,3,,
Louisiana,4,,
Louisiana,5,,
New York,1,,
New York,2,,
New York,3,,
New York,4,,
New York,5,,
New York,6,,
New York,7,,
New York,8,,
New York,9,,
New York,10,,
New York,11,,
New York,12,,
New York,13,,
New York,14,,
New York,15,,
New York,16,,
New York,17,,
New York,18,,
New York,19,,
New York,20,,
New York,21,,
New York,22,,
New York,23,,
New York,24,,
New York,25,,
New York,26,,
North Carolina,1,,
North Carolina,2,,
North Carolina,3,,
North Carolina,4,,
North Carolina,5,,
North Carolina,6,,
North Carolina,7,,
North Carolina,8,,
North Carolina,9,,
North Carolina,10,,
North Carolina,11,,
North Carolina,12,,
North Carolina,13,,
North Carolina,14,,
South Carolina,1,,
South Carolina,2,,
South Carolina,3,,
South Carolina,4,,
South Carolina,5,,
South Carolina,6,,
South Carolina,7,,
